respondent_id,age,gender,race,income_tier,stress_scale,trust_neighbors,s33_laddnow,s34_ladd5yr,s35_faminc,s36_opp1,s37_inequal,s32_trust2,s38_opp2,s39_soccap1,s40_soccap2,s42_dignity2,s46_control2,s47_hope,s48_prosocial,s49_dignity4,s27_religion
1,23,Female,Hispanic/Latino,middle,17,medium,6,7,Above average,3,3,2,3,3,3,2,3,1,3,2,3
2,66,Female,Asian,high,5,medium,8,8,Below average,2,2,3,1,3,3,3,3,2,3,3,2
3,59,Male,White,low,12,low,4,6,Above average,2,2,3,4,5,1,2,5,5,4,4,4
4,45,Male,White,high,29,high,9,9,Below average,3,3,2,3,5,3,2,2,4,3,2,2
5,45,Male,White,low,13,low,5,7,Far above average,3,4,2,3,4,5,4,5,3,4,2,1
6,72,Male,Black,middle,11,high,7,8,Average,2,1,2,4,5,4,5,3,2,2,3,1
7,23,Female,White,high,27,medium,8,8,Average,2,3,1,5,5,4,2,5,2,4,5,4
8,61,Male,Black,low,38,medium,3,5,Below average,4,3,1,3,3,1,3,4,5,5,4,1
9,30,Female,Hispanic/Latino,low,14,low,2,4,Above average,2,2,1,4,2,1,2,4,2,4,4,2
10,23,Female,Hispanic/Latino,low,19,medium,4,6,Far below average,2,4,2,1,2,2,2,5,4,3,1,2
11,51,Male,White,high,18,low,6,6,Below average,3,2,3,4,4,3,3,3,4,2,3,1
12,79,Female,Asian,middle,28,medium,7,8,Below average,4,4,2,3,4,2,3,3,2,3,2,2
13,64,Male,White,high,10,low,9,9,Above average,3,2,1,4,4,5,4,5,4,5,2,3
14,65,Male,White,low,20,low,2,4,Below average,3,2,2,4,3,4,3,5,1,4,3,1
15,63,Male,White,high,21,medium,9,9,Above average,2,4,2,1,4,3,1,4,5,2,4,4
16,67,Male,White,middle,21,high,4,5,Average,1,4,4,1,3,5,3,3,1,4,3,4
17,50,Male,Hispanic/Latino,high,14,low,8,8,Far below average,3,4,3,5,3,3,4,4,2,3,4,2
18,26,Female,Hispanic/Latino,low,20,low,2,4,Far below average,2,1,1,5,3,4,5,3,3,5,4,1
19,70,Female,White,high,8,medium,7,7,Far below average,4,2,4,1,3,4,4,3,5,3,4,3
20,46,Female,Asian,high,15,medium,8,8,Average,4,4,2,2,4,3,5,3,4,4,1,1
21,49,Female,White,middle,16,medium,6,7,Above average,1,1,3,1,3,2,1,2,3,3,3,2
22,41,Female,White,high,17,medium,7,7,Below average,3,4,4,4,4,2,4,4,2,4,5,4
23,29,Male,White,low,18,medium,5,7,Above average,3,3,1,4,3,3,4,4,4,1,5,4
